Source,Target,weight
SOCIAL INDICATORS RESEARCH,SOCIAL NETWORKS,0.07764778536094752
SOCIAL INDICATORS RESEARCH,SOCIAL SCIENCE RESEARCH,0.25466910965710043
SOCIAL INDICATORS RESEARCH,SOCIETY & NATURAL RESOURCES,0.09609073380033986
SOCIAL INDICATORS RESEARCH,SOCIOLOGIA RURALIS,0.08454789341672721
SOCIAL INDICATORS RESEARCH,SOCIOLOGICAL SPECTRUM,0.1534358009543616
SOCIAL INDICATORS RESEARCH,SOCIOLOGY OF EDUCATION,0.07336639825878975
SOCIAL INDICATORS RESEARCH,SOCIOLOGY OF HEALTH & ILLNESS,0.06752451786647588
SOCIAL INDICATORS RESEARCH,TEACHING SOCIOLOGY,0.03147715337837984
SOCIAL INDICATORS RESEARCH,THEORY AND SOCIETY,0.07917815354866832
SOCIAL INDICATORS RESEARCH,SOCIAL SCIENCE QUARTERLY,0.1764814887277452
SOCIAL INDICATORS RESEARCH,SOCIOLOGICAL PERSPECTIVES,0.15071357412243397
SOCIAL INDICATORS RESEARCH,SOCIOLOGY OF SPORT JOURNAL,0.04993505211890172
SOCIAL INDICATORS RESEARCH,SOCIOLOGY OF RELIGION,0.06807165974577319
SOCIAL INDICATORS RESEARCH,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,0.10051288522216528
SOCIAL INDICATORS RESEARCH,WORK EMPLOYMENT AND SOCIETY,0.10180633410263179
SOCIAL INDICATORS RESEARCH,SOCIOLOGICAL FORUM,0.13863421088747607
SOCIAL INDICATORS RESEARCH,SOCIOLOGICAL QUARTERLY,0.12231586442631526
SOCIAL INDICATORS RESEARCH,SOCIOLOGICAL THEORY,0.07382994589394315
SOCIAL INDICATORS RESEARCH,YOUTH & SOCIETY,0.1524939684645822
SOCIAL INDICATORS RESEARCH,SOCIAL PROBLEMS,0.0950056064473225
SOCIAL INDICATORS RESEARCH,SOCIETY,0.08401508343354178
SOCIAL INDICATORS RESEARCH,SOCIOLOGICAL INQUIRY,0.1148715606194814
SOCIAL INDICATORS RESEARCH,SOCIOLOGICAL METHODS & RESEARCH,0.12557180252337458
